species_key,scientific_name,domain,lineage_group,phylo_group,n_proteins,n_structures,B,budget_prior,median_eta,mean_eta,log10_median_eta,q01,q05,q25,q50,q75,q95,q99,fraction_positive_eta
dicdi,Dictyostelium discoideum,eukaryota,protists,19,11990.0,12612.0,,3.5,0.1517984901564119,3.421792582662775,-0.818732548071631,0.0400630375555056,0.0539108447776498,0.0924993707525799,0.1517984901564119,0.3183139534883721,4.952125984251957,90.3,0.9205170975813177
drame,Dracunculus medinensis,eukaryota,metazoa,36,10343.0,10834.0,,17.0,0.9145739768486304,16.795844992621443,-0.038781160129870706,0.2023333800381017,0.2930914087107841,0.5323359684509488,0.9145739768486304,2.091482649842271,36.76943877551028,435.83815384615633,0.9271004544136131
drome,Drosophila melanogaster,eukaryota,metazoa,42,13357.0,13461.0,,24.0,1.0284679609697214,27.32529348866385,0.012190767016853746,0.250962831701028,0.3594525432232479,0.5890993781728786,1.0284679609697214,2.5636126791141987,72.0,676.8,0.9305233211050385
ecoli,Escherichia coli K-12,bacteria,other,4,4346.0,4370.0,,0.0,,,,,,,,,,,0.0
haein,Haemophilus influenzae,bacteria,other,5,1657.0,1660.0,,0.0,,,,,,,,,,,0.0
helpy,Helicobacter pylori,bacteria,other,6,1521.0,1540.0,,0.0,,,,,,,,,,,0.0
human,Homo sapiens,eukaryota,metazoa,44,20101.0,20550.0,,32.0,1.3502060886542773,35.318139645400095,0.13040006207599267,0.3563710209181805,0.5072007006954092,0.8902196551418321,1.3502060886542773,2.994578466665911,52.19809523809513,814.2719999999972,0.9461718322471518
kleph,Klebsiella pneumoniae,bacteria,other,7,5658.0,5727.0,,0.0,,,,,,,,,,,0.0
leiin,Leishmania infantum,eukaryota,protists,23,7726.0,7924.0,,5.0,0.1905154639175257,6.597384652026593,-0.7200697673821571,0.0513540806151936,0.0684337906835878,0.1161900352576658,0.1905154639175257,0.3935716628402755,8.977358490566006,160.55999999999858,0.9512037276727932
maize,Zea mays,eukaryota,plants,32,36753.0,39139.0,,18.0,0.9130404561765996,21.35040126522372,-0.03950997875814842,0.2069482701978525,0.2796116026201811,0.4896456797935301,0.9130404561765996,2.491086730333604,73.6339572192512,496.8,0.887056838897505
metja,Methanocaldococcus jannaschii,archaea,other,1,1761.0,1773.0,,0.0,,,,,,,,,,,0.0
mouse,Mus musculus,eukaryota,metazoa,45,21209.0,21452.0,,30.0,1.213707758210376,31.599525020918033,0.08411412802800255,0.3411129099550489,0.4804290343003985,0.8417966705057062,1.213707758210376,2.488062327217894,46.6822429906542,780.9945652174139,0.9600169739261635
mycle,Mycobacterium leprae,bacteria,other,8,1552.0,1602.0,,0.0,,,,,,,,,,,0.0
myctu,Mycobacterium tuberculosis,bacteria,other,9,3914.0,3991.0,,0.0,,,,,,,,,,,0.0
neig1,Neisseria gonorrhoeae,bacteria,other,10,2035.0,2106.0,,0.0,,,,,,,,,,,0.0
oncvo,Onchocerca volvulus,eukaryota,metazoa,37,10976.0,12039.0,,17.0,0.810554089533346,19.852805463502403,-0.09121799870312186,0.1959142769012257,0.278182704497519,0.4888852935289193,0.810554089533346,1.9620010034457336,62.23854545454518,428.0656666666666,0.8618804664723032
orysj,Oryza sativa,eukaryota,plants,31,37215.0,43645.0,,18.0,0.8648208469055375,23.524960247395857,-0.0630738500596986,0.2150759725225272,0.2847056274074435,0.4923786970134377,0.8648208469055375,2.350542968825577,116.3076923076923,496.8,0.8029826682789198
parba,Paracoccidioides lutzii,eukaryota,fungi,28,7893.0,8794.0,,1.5,0.0577969174977334,1.5144394236118237,-1.2380953233341983,0.0155160865147849,0.0205758826083627,0.0339867396944364,0.0577969174977334,0.1401136363636363,4.323478260869548,37.18285714285688,0.919422272900038
plaf7,Plasmodium falciparum,eukaryota,protists,20,5062.0,5168.0,,6.0,0.2851916160238125,6.171113610030208,-0.5448632458892966,0.049122994878462,0.0790867800457379,0.1501160220794133,0.2851916160238125,0.6063670662663903,8.44615384615379,158.4,0.9330304227578032
pseae,Pseudomonas aeruginosa,bacteria,other,11,5527.0,5555.0,,0.0,,,,,,,,,,,0.0
rat,Rattus norvegicus,eukaryota,metazoa,46,21785.0,22152.0,,30.0,1.258561595643379,34.82819824989971,0.09987447534199961,0.3423858670349721,0.4847763480471481,0.8630398709602185,1.258561595643379,2.81062695535758,56.8182525641598,825.5099999999948,0.9494606380537067
salty,Salmonella enterica,bacteria,other,12,4493.0,4526.0,,0.0,,,,,,,,,,,0.0
